id,cluster,hour,page,shares,reactions,phase
269,3,1/6/21 6:00,Lelibrepenseur.org,93,138,3
270,1,1/6/21 6:00,Pro-Life Éire,9,29,3
271,2,1/6/21 7:00,Australian Conservative News,4,16,3
272,0,1/6/21 7:00,Craig Kelly,1363,2986,3
273,3,1/6/21 7:00,Lelibrepenseur.org,93,140,3
274,1,1/6/21 7:00,Pro-Life Éire,9,29,3
275,2,1/6/21 8:00,Australian Conservative News,4,16,3
276,0,1/6/21 8:00,Craig Kelly,1363,2986,3
277,3,1/6/21 8:00,Lelibrepenseur.org,97,143,3
278,1,1/6/21 8:00,Pro-Life Éire,9,29,3
279,2,1/6/21 9:00,Australian Conservative News,4,16,3
280,0,1/6/21 9:00,Craig Kelly,1363,2986,3
281,3,1/6/21 9:00,Lelibrepenseur.org,102,148,3
282,1,1/6/21 9:00,Pro-Life Éire,9,29,3
283,2,1/6/21 10:00,Australian Conservative News,4,16,3
284,0,1/6/21 10:00,Craig Kelly,1363,2986,3
285,3,1/6/21 10:00,Lelibrepenseur.org,103,151,3
286,1,1/6/21 10:00,Pro-Life Éire,9,29,3
287,2,1/6/21 11:00,Australian Conservative News,4,16,3
288,0,1/6/21 11:00,Craig Kelly,1363,2986,3
289,3,1/6/21 11:00,Lelibrepenseur.org,105,153,3
290,1,1/6/21 11:00,Pro-Life Éire,9,29,3
291,2,1/6/21 13:00,Australian Conservative News,4,16,3
292,0,1/6/21 13:00,Craig Kelly,1363,2986,3
293,3,1/6/21 13:00,Lelibrepenseur.org,105,155,3
294,1,1/6/21 13:00,Pro-Life Éire,9,29,3
295,2,1/6/21 14:00,Australian Conservative News,4,16,3
296,0,1/6/21 14:00,Craig Kelly,1363,2986,3
297,3,1/6/21 14:00,Lelibrepenseur.org,108,156,3
298,1,1/6/21 14:00,Pro-Life Éire,9,29,3
299,2,1/6/21 16:00,Australian Conservative News,4,16,3
300,0,1/6/21 16:00,Craig Kelly,1363,2986,3
301,3,1/6/21 16:00,Lelibrepenseur.org,110,160,3
302,1,1/6/21 16:00,Pro-Life Éire,9,29,3
303,2,1/6/21 17:00,Australian Conservative News,4,16,3
304,0,1/6/21 17:00,Craig Kelly,1363,2986,3
305,3,1/6/21 17:00,Lelibrepenseur.org,112,162,3
306,1,1/6/21 17:00,Pro-Life Éire,9,29,3
307,2,1/6/21 20:00,Australian Conservative News,4,16,3
308,0,1/6/21 20:00,Craig Kelly,1363,2986,3
309,3,1/6/21 20:00,Lelibrepenseur.org,113,164,3
310,1,1/6/21 20:00,Pro-Life Éire,9,29,3
311,2,1/6/21 23:00,Australian Conservative News,4,16,3
312,0,1/6/21 23:00,Craig Kelly,1363,2986,3
313,3,1/6/21 23:00,Lelibrepenseur.org,114,167,3
314,1,1/6/21 23:00,Pro-Life Éire,9,29,3
315,2,1/7/21 2:00,Australian Conservative News,4,16,3
316,0,1/7/21 2:00,Craig Kelly,1363,2986,3
317,3,1/7/21 2:00,Lelibrepenseur.org,115,169,3
318,1,1/7/21 2:00,Pro-Life Éire,9,29,3
319,2,1/7/21 5:00,Australian Conservative News,4,16,4
320,0,1/7/21 5:00,Craig Kelly,1363,2986,4
321,3,1/7/21 5:00,Lelibrepenseur.org,115,171,4
322,1,1/7/21 5:00,Pro-Life Éire,9,29,4
323,2,1/7/21 7:00,Australian Conservative News,4,16,4
324,4,1/7/21 7:00,Constitutional Court Action Group - Human Rights Witness SA 2020,2,1,4
325,0,1/7/21 7:00,Craig Kelly,1363,2986,4
326,3,1/7/21 7:00,Lelibrepenseur.org,115,171,4
327,1,1/7/21 7:00,Pro-Life Éire,9,29,4
328,2,1/7/21 8:00,Australian Conservative News,4,16,4
329,4,1/7/21 8:00,Constitutional Court Action Group - Human Rights Witness SA 2020,2,1,4
330,0,1/7/21 8:00,Craig Kelly,1363,2986,4
331,3,1/7/21 8:00,Lelibrepenseur.org,115,172,4
332,1,1/7/21 8:00,Pro-Life Éire,9,29,4
333,2,1/7/21 9:00,Australian Conservative News,4,16,4
334,4,1/7/21 9:00,Constitutional Court Action Group - Human Rights Witness SA 2020,3,1,4
335,0,1/7/21 9:00,Craig Kelly,1363,2986,4
336,3,1/7/21 9:00,Lelibrepenseur.org,115,172,4
337,1,1/7/21 9:00,Pro-Life Éire,9,29,4
338,2,1/7/21 10:00,Australian Conservative News,4,16,4
339,4,1/7/21 10:00,Constitutional Court Action Group - Human Rights Witness SA 2020,3,1,4
340,0,1/7/21 10:00,Craig Kelly,1363,2986,4
341,3,1/7/21 10:00,Lelibrepenseur.org,115,172,4
342,1,1/7/21 10:00,Pro-Life Éire,9,29,4
343,2,1/7/21 11:00,Australian Conservative News,4,16,4
344,4,1/7/21 11:00,Constitutional Court Action Group - Human Rights Witness SA 2020,3,1,4
345,0,1/7/21 11:00,Craig Kelly,1363,2986,4
346,3,1/7/21 11:00,Lelibrepenseur.org,115,174,4
347,1,1/7/21 11:00,Pro-Life Éire,9,29,4
348,2,1/7/21 12:00,Australian Conservative News,4,16,4
349,4,1/7/21 12:00,Constitutional Court Action Group - Human Rights Witness SA 2020,3,2,4
350,0,1/7/21 12:00,Craig Kelly,1363,2986,4
351,3,1/7/21 12:00,Lelibrepenseur.org,116,174,4
352,1,1/7/21 12:00,Pro-Life Éire,9,29,4
353,2,1/7/21 13:00,Australian Conservative News,4,16,4
354,4,1/7/21 13:00,Constitutional Court Action Group - Human Rights Witness SA 2020,3,2,4
355,0,1/7/21 13:00,Craig Kelly,1363,2986,4
356,3,1/7/21 13:00,Lelibrepenseur.org,116,174,4
357,1,1/7/21 13:00,Pro-Life Éire,9,29,4
358,2,1/7/21 14:00,Australian Conservative News,4,16,4
359,4,1/7/21 14:00,Constitutional Court Action Group - Human Rights Witness SA 2020,3,2,4
360,0,1/7/21 14:00,Craig Kelly,1363,2986,4
361,3,1/7/21 14:00,Lelibrepenseur.org,116,174,4
362,1,1/7/21 14:00,Pro-Life Éire,9,29,4
363,2,1/7/21 15:00,Australian Conservative News,4,16,4
364,4,1/7/21 15:00,Constitutional Court Action Group - Human Rights Witness SA 2020,5,4,4
365,0,1/7/21 15:00,Craig Kelly,1363,2986,4
366,3,1/7/21 15:00,Lelibrepenseur.org,116,174,4
367,1,1/7/21 15:00,Pro-Life Éire,9,29,4
368,2,1/7/21 16:00,Australian Conservative News,4,16,4
369,4,1/7/21 16:00,Constitutional Court Action Group - Human Rights Witness SA 2020,5,4,4
370,0,1/7/21 16:00,Craig Kelly,1363,2986,4
371,3,1/7/21 16:00,Lelibrepenseur.org,116,176,4
372,1,1/7/21 16:00,Pro-Life Éire,9,29,4
373,2,1/7/21 17:00,Australian Conservative News,4,16,4
374,4,1/7/21 17:00,Constitutional Court Action Group - Human Rights Witness SA 2020,5,4,4
375,0,1/7/21 17:00,Craig Kelly,1363,2986,4
376,3,1/7/21 17:00,Lelibrepenseur.org,116,176,4
377,1,1/7/21 17:00,Pro-Life Éire,9,29,4
378,2,1/7/21 19:00,Australian Conservative News,4,16,4
379,4,1/7/21 19:00,Constitutional Court Action Group - Human Rights Witness SA 2020,5,4,4
380,0,1/7/21 19:00,Craig Kelly,1363,2986,4
381,3,1/7/21 19:00,Lelibrepenseur.org,117,176,4
382,1,1/7/21 19:00,Pro-Life Éire,9,29,4
383,2,1/7/21 20:00,Australian Conservative News,4,16,4
384,4,1/7/21 20:00,Constitutional Court Action Group - Human Rights Witness SA 2020,5,5,4
385,0,1/7/21 20:00,Craig Kelly,1363,2986,4
386,3,1/7/21 20:00,Lelibrepenseur.org,117,176,4
387,1,1/7/21 20:00,Pro-Life Éire,9,29,4
388,2,1/7/21 22:00,Australian Conservative News,4,16,4
389,4,1/7/21 22:00,Constitutional Court Action Group - Human Rights Witness SA 2020,6,6,4
390,0,1/7/21 22:00,Craig Kelly,1363,2986,4
391,3,1/7/21 22:00,Lelibrepenseur.org,117,176,4
392,1,1/7/21 22:00,Pro-Life Éire,9,29,4
393,2,1/7/21 23:00,Australian Conservative News,4,16,4
394,4,1/7/21 23:00,Constitutional Court Action Group - Human Rights Witness SA 2020,6,6,4
395,0,1/7/21 23:00,Craig Kelly,1363,2986,4
396,3,1/7/21 23:00,Lelibrepenseur.org,117,176,4
397,1,1/7/21 23:00,Pro-Life Éire,9,29,4
398,2,1/8/21 0:00,Australian Conservative News,4,16,4
399,4,1/8/21 0:00,Constitutional Court Action Group - Human Rights Witness SA 2020,6,6,4
400,0,1/8/21 0:00,Craig Kelly,1363,2986,4
401,3,1/8/21 0:00,Lelibrepenseur.org,118,177,4
402,1,1/8/21 0:00,Pro-Life Éire,9,29,4
403,2,1/8/21 1:00,Australian Conservative News,4,16,4
404,4,1/8/21 1:00,Constitutional Court Action Group - Human Rights Witness SA 2020,6,6,4
405,0,1/8/21 1:00,Craig Kelly,1363,2986,4
406,3,1/8/21 1:00,Lelibrepenseur.org,118,177,4
407,1,1/8/21 1:00,Pro-Life Éire,9,29,4
408,2,1/8/21 2:00,Australian Conservative News,4,16,4
409,4,1/8/21 2:00,Constitutional Court Action Group - Human Rights Witness SA 2020,6,6,4
410,0,1/8/21 2:00,Craig Kelly,1363,2986,4
411,3,1/8/21 2:00,Lelibrepenseur.org,118,177,4
412,1,1/8/21 2:00,Pro-Life Éire,9,29,4
413,2,1/8/21 4:00,Australian Conservative News,4,16,4
414,4,1/8/21 4:00,Constitutional Court Action Group - Human Rights Witness SA 2020,6,7,4
415,0,1/8/21 4:00,Craig Kelly,1363,2986,4
416,3,1/8/21 4:00,Lelibrepenseur.org,118,177,4
417,1,1/8/21 4:00,Pro-Life Éire,9,29,4
418,2,1/8/21 5:00,Australian Conservative News,4,16,4
419,4,1/8/21 5:00,Constitutional Court Action Group - Human Rights Witness SA 2020,75,8,4
420,0,1/8/21 5:00,Craig Kelly,1363,2986,4
421,3,1/8/21 5:00,Lelibrepenseur.org,118,177,4
422,1,1/8/21 5:00,Pro-Life Éire,9,29,4
423,2,1/8/21 8:00,Australian Conservative News,4,16,4
424,4,1/8/21 8:00,Constitutional Court Action Group - Human Rights Witness SA 2020,77,9,4
425,0,1/8/21 8:00,Craig Kelly,1363,2986,4
426,3,1/8/21 8:00,Lelibrepenseur.org,118,177,4
427,1,1/8/21 8:00,Pro-Life Éire,9,29,4
428,2,1/8/21 11:00,Australian Conservative News,4,16,4
429,4,1/8/21 11:00,Constitutional Court Action Group - Human Rights Witness SA 2020,80,10,4
430,0,1/8/21 11:00,Craig Kelly,1363,2986,4
431,3,1/8/21 11:00,Lelibrepenseur.org,119,178,4
432,1,1/8/21 11:00,Pro-Life Éire,9,29,4
433,2,1/8/21 13:00,Australian Conservative News,4,16,4
434,4,1/8/21 13:00,Constitutional Court Action Group - Human Rights Witness SA 2020,80,10,4
435,0,1/8/21 13:00,Craig Kelly,1363,2986,4
436,3,1/8/21 13:00,Lelibrepenseur.org,119,178,4
437,1,1/8/21 13:00,Pro-Life Éire,9,29,4
438,2,1/8/21 15:00,Australian Conservative News,4,16,4
439,4,1/8/21 15:00,Constitutional Court Action Group - Human Rights Witness SA 2020,80,10,4
440,0,1/8/21 15:00,Craig Kelly,1363,2986,4
441,3,1/8/21 15:00,Lelibrepenseur.org,119,180,4
442,1,1/8/21 15:00,Pro-Life Éire,9,29,4
443,2,1/8/21 17:00,Australian Conservative News,4,16,4
444,4,1/8/21 17:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,11,4
445,0,1/8/21 17:00,Craig Kelly,1363,2986,4
446,3,1/8/21 17:00,Lelibrepenseur.org,119,180,4
447,1,1/8/21 17:00,Pro-Life Éire,9,29,4
448,2,1/8/21 19:00,Australian Conservative News,4,16,4
449,4,1/8/21 19:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
450,0,1/8/21 19:00,Craig Kelly,1363,2986,4
451,3,1/8/21 19:00,Lelibrepenseur.org,119,180,4
